# omega (eV)     <Re(Eps)>     <Im(Eps)>
10.22044088    -2.26010236    0.65694603
10.28056112    -2.21573709    0.64725212
10.34068136    -2.17722633    0.64262149
10.40080160    -2.14759597    0.63645163
10.46092184    -2.12729325    0.62010250
10.52104208    -2.10063598    0.58689787
10.58116232    -2.05469444    0.55073169
10.64128256    -1.99543040    0.53128970
10.70140281    -1.94316991    0.53191877
10.76152305    -1.91107358    0.53792758
10.82164329    -1.89199520    0.53137775
10.88176353    -1.86919059    0.51213375
10.94188377    -1.84169346    0.49082849
11.00200401    -1.80956617    0.46677541
11.06212425    -1.77191893    0.44359797
11.12224449    -1.72959501    0.42562867
11.18236473    -1.68747885    0.41162513
11.24248497    -1.64306619    0.40518748
11.30260521    -1.60818437    0.40531197
11.36272545    -1.57828242    0.40279559
11.42284569    -1.55370308    0.40133263
11.48296593    -1.53606597    0.39146833
11.54308617    -1.51256722    0.37223652
11.60320641    -1.47894356    0.35456848
11.66332665    -1.44487901    0.34569544
11.72344689    -1.41413884    0.33606370
11.78356713    -1.37947278    0.32992567
11.84368738    -1.35025507    0.33202389
11.90380761    -1.33212706    0.33166221
11.96392786    -1.31479687    0.32245872
12.02404810    -1.29441352    0.31177779
12.08416834    -1.27518236    0.29942239
12.14428858    -1.25309637    0.28314973
12.20440882    -1.22719488    0.26609805
12.26452906    -1.19465447    0.24921528
12.32464930    -1.15728903    0.24152384
12.38476954    -1.12425813    0.24144198
12.44488978    -1.09714732    0.24621185
12.50501002    -1.08086559    0.24976719
12.56513026    -1.06805618    0.24386436
12.62525050    -1.05125432    0.23236431
12.68537074    -1.02958502    0.21945296
12.74549098    -1.00418298    0.20885999
12.80561122    -0.97791022    0.20090813
12.86573146    -0.95014340    0.19486974
12.92585170    -0.92235194    0.19412924
12.98597194    -0.89892251    0.19742918
13.04609218    -0.88254931    0.20125123
13.10621243    -0.87085078    0.19879780
13.16633267    -0.85686121    0.19002286
13.22645291    -0.83645980    0.18021378
13.28657315    -0.81379741    0.17524786
13.34669339    -0.79322646    0.17266701
13.40681363    -0.77381242    0.16998043
13.46693387    -0.75415351    0.16831552
13.52705411    -0.73659503    0.16875939
13.58717435    -0.72225428    0.16818738
13.64729459    -0.70949121    0.16515432
13.70741483    -0.69526978    0.15906972
13.76753507    -0.67896226    0.15305300
13.82765531    -0.66066431    0.14773420
13.88777555    -0.64190679    0.14516112
13.94789579    -0.62480568    0.14453506
14.00801603    -0.61000169    0.14337553
14.06813627    -0.59458302    0.14184702
14.12825651    -0.58096543    0.14150185
14.18837675    -0.56862142    0.13921113
14.24849699    -0.55516673    0.13593949
14.30861723    -0.54077834    0.13352724
14.36873747    -0.52728922    0.13274594
14.42885771    -0.51560373    0.13123550
14.48897796    -0.50328867    0.12982465
14.54909820    -0.49379047    0.12941238
14.60921844    -0.48619415    0.12526438
14.66933868    -0.47642565    0.11850470
14.72945892    -0.46407450    0.11152663
14.78957916    -0.44977301    0.10627399
14.84969940    -0.43630924    0.10393567
14.90981964    -0.42589758    0.10127792
14.96993988    -0.41585664    0.09584656
15.03006012    -0.40341545    0.08931575
15.09018036    -0.38964193    0.08428750
15.15030060    -0.37594351    0.08021400
15.21042084    -0.36234482    0.07707125
15.27054108    -0.34990449    0.07443982
15.33066132    -0.33781098    0.07095146
15.39078156    -0.32507372    0.06722027
15.45090180    -0.31157632    0.06411662
15.51102204    -0.29813670    0.06217887
15.57114229    -0.28545169    0.06138191
15.63126253    -0.27451180    0.06053597
15.69138277    -0.26389483    0.05850367
15.75150301    -0.25268774    0.05632467
15.81162325    -0.24154908    0.05449253
15.87174349    -0.23064571    0.05297360
15.93186373    -0.22040244    0.05137168
15.99198397    -0.21026239    0.04922591
16.05210421    -0.19981685    0.04685707
16.11222445    -0.18899694    0.04461900
16.17234469    -0.17792152    0.04285983
16.23246493    -0.16703538    0.04189928
16.29258517    -0.15714971    0.04144782
16.35270541    -0.14819923    0.04030424
16.41282565    -0.13910318    0.03836962
16.47294589    -0.12950575    0.03620847
16.53306613    -0.11939067    0.03432375
16.59318637    -0.10938933    0.03322027
16.65330661    -0.10002082    0.03216440
16.71342685    -0.09069391    0.03090238
16.77354709    -0.08138739    0.02983515
16.83366734    -0.07237868    0.02885226
16.89378758    -0.06343674    0.02772197
16.95390782    -0.05454251    0.02685352
17.01402806    -0.04609759    0.02594293
17.07414830    -0.03768301    0.02462985
17.13426854    -0.02890828    0.02339649
17.19438878    -0.02022697    0.02252996
17.25450902    -0.01184790    0.02179283
