  0.50000000E-01 -0.90818856E-08  0.15571936E-07
  0.60000000E-01 -0.92456030E-08  0.18686170E-07
  0.70000000E-01 -0.94152411E-08  0.21800322E-07
  0.80000000E-01 -0.95907635E-08  0.24914376E-07
  0.90000000E-01 -0.97721313E-08  0.28028321E-07
  0.10000000E+00 -0.99593040E-08  0.31142142E-07
  0.11000000E+00 -0.10152239E-07  0.34255826E-07
  0.12000000E+00 -0.10350890E-07  0.37369360E-07
  0.13000000E+00 -0.10555212E-07  0.40482731E-07
  0.14000000E+00 -0.10765154E-07  0.43595926E-07
  0.15000000E+00 -0.10980666E-07  0.46708933E-07
  0.16000000E+00 -0.11201693E-07  0.49821737E-07
  0.17000000E+00 -0.11428179E-07  0.52934328E-07
  0.18000000E+00 -0.11660067E-07  0.56046694E-07
  0.19000000E+00 -0.11897296E-07  0.59158821E-07
  0.20000000E+00 -0.12139803E-07  0.62270698E-07
  0.21000000E+00 -0.12387524E-07  0.65382313E-07
  0.22000000E+00 -0.12640390E-07  0.68493656E-07
  0.23000000E+00 -0.12898333E-07  0.71604714E-07
  0.24000000E+00 -0.13161280E-07  0.74715477E-07
  0.25000000E+00 -0.13429156E-07  0.77825934E-07
  0.26000000E+00 -0.13701886E-07  0.80936073E-07
  0.27000000E+00 -0.13979389E-07  0.84045885E-07
  0.28000000E+00 -0.14261584E-07  0.87155359E-07
  0.29000000E+00 -0.14548387E-07  0.90264485E-07
  0.30000000E+00 -0.14839711E-07  0.93373254E-07
  0.31000000E+00 -0.15135467E-07  0.96481654E-07
  0.32000000E+00 -0.15435563E-07  0.99589678E-07
  0.33000000E+00 -0.15739905E-07  0.10269732E-06
  0.34000000E+00 -0.16048397E-07  0.10580456E-06
  0.35000000E+00 -0.16360938E-07  0.10891140E-06
  0.36000000E+00 -0.16677428E-07  0.11201782E-06
  0.37000000E+00 -0.16997762E-07  0.11512382E-06
  0.38000000E+00 -0.17321832E-07  0.11822940E-06
  0.39000000E+00 -0.17649530E-07  0.12133453E-06
  0.40000000E+00 -0.17980742E-07  0.12443922E-06
  0.41000000E+00 -0.18315354E-07  0.12754346E-06
  0.42000000E+00 -0.18653249E-07  0.13064723E-06
  0.43000000E+00 -0.18994306E-07  0.13375054E-06
  0.44000000E+00 -0.19338403E-07  0.13685337E-06
  0.45000000E+00 -0.19685414E-07  0.13995573E-06
  0.46000000E+00 -0.20035210E-07  0.14305759E-06
  0.47000000E+00 -0.20387662E-07  0.14615896E-06
  0.48000000E+00 -0.20742636E-07  0.14925983E-06
  0.49000000E+00 -0.21099995E-07  0.15236020E-06
  0.50000000E+00 -0.21459601E-07  0.15546006E-06
  0.51000000E+00 -0.21821313E-07  0.15855941E-06
  0.52000000E+00 -0.22184985E-07  0.16165823E-06
  0.53000000E+00 -0.22550472E-07  0.16475654E-06
  0.54000000E+00 -0.22917624E-07  0.16785432E-06
  0.55000000E+00 -0.23286288E-07  0.17095158E-06
  0.56000000E+00 -0.23656311E-07  0.17404830E-06
  0.57000000E+00 -0.24027533E-07  0.17714450E-06
  0.58000000E+00 -0.24399796E-07  0.18024017E-06
  0.59000000E+00 -0.24772935E-07  0.18333530E-06
  0.60000000E+00 -0.25146787E-07  0.18642991E-06
  0.61000000E+00 -0.25521182E-07  0.18952398E-06
  0.62000000E+00 -0.25895950E-07  0.19261753E-06
  0.63000000E+00 -0.26270917E-07  0.19571056E-06
  0.64000000E+00 -0.26645908E-07  0.19880307E-06
  0.65000000E+00 -0.27020742E-07  0.20189506E-06
  0.66000000E+00 -0.27395240E-07  0.20498654E-06
  0.67000000E+00 -0.27769218E-07  0.20807753E-06
  0.68000000E+00 -0.28142487E-07  0.21116801E-06
  0.69000000E+00 -0.28514861E-07  0.21425802E-06
  0.70000000E+00 -0.28886146E-07  0.21734754E-06
  0.71000000E+00 -0.29256149E-07  0.22043660E-06
  0.72000000E+00 -0.29624672E-07  0.22352521E-06
  0.73000000E+00 -0.29991517E-07  0.22661338E-06
  0.74000000E+00 -0.30356481E-07  0.22970112E-06
  0.75000000E+00 -0.30719359E-07  0.23278846E-06
  0.76000000E+00 -0.31079946E-07  0.23587540E-06
  0.77000000E+00 -0.31438031E-07  0.23896197E-06
  0.78000000E+00 -0.31793402E-07  0.24204818E-06
  0.79000000E+00 -0.32145845E-07  0.24513405E-06
  0.80000000E+00 -0.32495142E-07  0.24821961E-06
  0.81000000E+00 -0.32841076E-07  0.25130488E-06
  0.82000000E+00 -0.33183422E-07  0.25438988E-06
  0.83000000E+00 -0.33521959E-07  0.25747464E-06
  0.84000000E+00 -0.33856457E-07  0.26055918E-06
  0.85000000E+00 -0.34186689E-07  0.26364354E-06
  0.86000000E+00 -0.34512424E-07  0.26672773E-06
  0.87000000E+00 -0.34833426E-07  0.26981180E-06
  0.88000000E+00 -0.35149460E-07  0.27289577E-06
  0.89000000E+00 -0.35460287E-07  0.27597967E-06
  0.90000000E+00 -0.35765667E-07  0.27906354E-06
  0.91000000E+00 -0.36065356E-07  0.28214741E-06
  0.92000000E+00 -0.36359108E-07  0.28523132E-06
  0.93000000E+00 -0.36646676E-07  0.28831530E-06
  0.94000000E+00 -0.36927808E-07  0.29139939E-06
  0.95000000E+00 -0.37202254E-07  0.29448363E-06
  0.96000000E+00 -0.37469758E-07  0.29756807E-06
  0.97000000E+00 -0.37730062E-07  0.30065273E-06
  0.98000000E+00 -0.37982908E-07  0.30373767E-06
  0.99000000E+00 -0.38228034E-07  0.30682292E-06
  0.10000000E+01 -0.38465176E-07  0.30990854E-06
