  0.50000000E-01  0.26956899E-05 -0.24360197E-05
  0.60000000E-01  0.26999165E-05 -0.25379569E-05
  0.70000000E-01  0.27049068E-05 -0.26392891E-05
  0.80000000E-01  0.27106584E-05 -0.27400012E-05
  0.90000000E-01  0.27171687E-05 -0.28400787E-05
  0.10000000E+00  0.27244344E-05 -0.29395076E-05
  0.11000000E+00  0.27324524E-05 -0.30382744E-05
  0.12000000E+00  0.27412185E-05 -0.31363660E-05
  0.13000000E+00  0.27507291E-05 -0.32337697E-05
  0.14000000E+00  0.27609794E-05 -0.33304733E-05
  0.15000000E+00  0.27719651E-05 -0.34264649E-05
  0.16000000E+00  0.27836810E-05 -0.35217330E-05
  0.17000000E+00  0.27961219E-05 -0.36162664E-05
  0.18000000E+00  0.28092822E-05 -0.37100543E-05
  0.19000000E+00  0.28231562E-05 -0.38030860E-05
  0.20000000E+00  0.28377378E-05 -0.38953513E-05
  0.21000000E+00  0.28530209E-05 -0.39868399E-05
  0.22000000E+00  0.28689989E-05 -0.40775419E-05
  0.23000000E+00  0.28856653E-05 -0.41674476E-05
  0.24000000E+00  0.29030133E-05 -0.42565473E-05
  0.25000000E+00  0.29210359E-05 -0.43448314E-05
  0.26000000E+00  0.29397260E-05 -0.44322905E-05
  0.27000000E+00  0.29590764E-05 -0.45189151E-05
  0.28000000E+00  0.29790801E-05 -0.46046957E-05
  0.29000000E+00  0.29997294E-05 -0.46896229E-05
  0.30000000E+00  0.30210172E-05 -0.47736871E-05
  0.31000000E+00  0.30429360E-05 -0.48568786E-05
  0.32000000E+00  0.30654784E-05 -0.49391879E-05
  0.33000000E+00  0.30886372E-05 -0.50206049E-05
  0.34000000E+00  0.31124049E-05 -0.51011195E-05
  0.35000000E+00  0.31367745E-05 -0.51807215E-05
  0.36000000E+00  0.31617387E-05 -0.52594003E-05
  0.37000000E+00  0.31872905E-05 -0.53371452E-05
  0.38000000E+00  0.32134230E-05 -0.54139449E-05
  0.39000000E+00  0.32401296E-05 -0.54897882E-05
  0.40000000E+00  0.32674037E-05 -0.55646632E-05
  0.41000000E+00  0.32952388E-05 -0.56385578E-05
  0.42000000E+00  0.33236290E-05 -0.57114595E-05
  0.43000000E+00  0.33525682E-05 -0.57833552E-05
  0.44000000E+00  0.33820508E-05 -0.58542316E-05
  0.45000000E+00  0.34120712E-05 -0.59240749E-05
  0.46000000E+00  0.34426244E-05 -0.59928706E-05
  0.47000000E+00  0.34737055E-05 -0.60606039E-05
  0.48000000E+00  0.35053097E-05 -0.61272595E-05
  0.49000000E+00  0.35374328E-05 -0.61928214E-05
  0.50000000E+00  0.35700704E-05 -0.62572732E-05
  0.51000000E+00  0.36032188E-05 -0.63205978E-05
  0.52000000E+00  0.36368746E-05 -0.63827777E-05
  0.53000000E+00  0.36710343E-05 -0.64437948E-05
  0.54000000E+00  0.37056951E-05 -0.65036301E-05
  0.55000000E+00  0.37408539E-05 -0.65622644E-05
  0.56000000E+00  0.37765083E-05 -0.66196776E-05
  0.57000000E+00  0.38126560E-05 -0.66758492E-05
  0.58000000E+00  0.38492949E-05 -0.67307579E-05
  0.59000000E+00  0.38864229E-05 -0.67843819E-05
  0.60000000E+00  0.39240384E-05 -0.68366986E-05
  0.61000000E+00  0.39621397E-05 -0.68876852E-05
  0.62000000E+00  0.40007255E-05 -0.69373177E-05
  0.63000000E+00  0.40397942E-05 -0.69855719E-05
  0.64000000E+00  0.40793446E-05 -0.70324228E-05
  0.65000000E+00  0.41193756E-05 -0.70778448E-05
  0.66000000E+00  0.41598858E-05 -0.71218119E-05
  0.67000000E+00  0.42008744E-05 -0.71642971E-05
  0.68000000E+00  0.42423399E-05 -0.72052732E-05
  0.69000000E+00  0.42842812E-05 -0.72447122E-05
  0.70000000E+00  0.43266972E-05 -0.72825856E-05
  0.71000000E+00  0.43695863E-05 -0.73188643E-05
  0.72000000E+00  0.44129472E-05 -0.73535187E-05
  0.73000000E+00  0.44567783E-05 -0.73865185E-05
  0.74000000E+00  0.45010778E-05 -0.74178332E-05
  0.75000000E+00  0.45458439E-05 -0.74474315E-05
  0.76000000E+00  0.45910744E-05 -0.74752817E-05
  0.77000000E+00  0.46367672E-05 -0.75013516E-05
  0.78000000E+00  0.46829195E-05 -0.75256086E-05
  0.79000000E+00  0.47295287E-05 -0.75480195E-05
  0.80000000E+00  0.47765918E-05 -0.75685507E-05
  0.81000000E+00  0.48241055E-05 -0.75871684E-05
  0.82000000E+00  0.48720663E-05 -0.76038381E-05
  0.83000000E+00  0.49204702E-05 -0.76185250E-05
  0.84000000E+00  0.49693131E-05 -0.76311939E-05
  0.85000000E+00  0.50185909E-05 -0.76418094E-05
  0.86000000E+00  0.50682985E-05 -0.76503354E-05
  0.87000000E+00  0.51184313E-05 -0.76567358E-05
  0.88000000E+00  0.51689837E-05 -0.76609740E-05
  0.89000000E+00  0.52199500E-05 -0.76630132E-05
  0.90000000E+00  0.52713246E-05 -0.76628160E-05
  0.91000000E+00  0.53231013E-05 -0.76603450E-05
  0.92000000E+00  0.53752734E-05 -0.76555624E-05
  0.93000000E+00  0.54278342E-05 -0.76484300E-05
  0.94000000E+00  0.54807768E-05 -0.76389096E-05
  0.95000000E+00  0.55340936E-05 -0.76269624E-05
  0.96000000E+00  0.55877771E-05 -0.76125496E-05
  0.97000000E+00  0.56418195E-05 -0.75956318E-05
  0.98000000E+00  0.56962124E-05 -0.75761695E-05
  0.99000000E+00  0.57509474E-05 -0.75541231E-05
  0.10000000E+01  0.58060158E-05 -0.75294522E-05
