  0.50000000E-01  0.24751513E-01  0.76081411E-03
  0.60000000E-01  0.24556256E-01  0.91263832E-03
  0.70000000E-01  0.24357456E-01  0.10642764E-02
  0.80000000E-01  0.24155288E-01  0.12156963E-02
  0.90000000E-01  0.23949932E-01  0.13668653E-02
  0.10000000E+00  0.23741569E-01  0.15177502E-02
  0.11000000E+00  0.23530383E-01  0.16683173E-02
  0.12000000E+00  0.23316559E-01  0.18185324E-02
  0.13000000E+00  0.23100284E-01  0.19683604E-02
  0.14000000E+00  0.22881748E-01  0.21177659E-02
  0.15000000E+00  0.22661142E-01  0.22667127E-02
  0.16000000E+00  0.22438658E-01  0.24151643E-02
  0.17000000E+00  0.22214487E-01  0.25630833E-02
  0.18000000E+00  0.21988825E-01  0.27104322E-02
  0.19000000E+00  0.21761865E-01  0.28571729E-02
  0.20000000E+00  0.21533802E-01  0.30032670E-02
  0.21000000E+00  0.21304831E-01  0.31486759E-02
  0.22000000E+00  0.21075146E-01  0.32933607E-02
  0.23000000E+00  0.20844943E-01  0.34372828E-02
  0.24000000E+00  0.20614416E-01  0.35804032E-02
  0.25000000E+00  0.20383758E-01  0.37226836E-02
  0.26000000E+00  0.20153162E-01  0.38640858E-02
  0.27000000E+00  0.19922820E-01  0.40045722E-02
  0.28000000E+00  0.19692923E-01  0.41441057E-02
  0.29000000E+00  0.19463660E-01  0.42826503E-02
  0.30000000E+00  0.19235219E-01  0.44201707E-02
  0.31000000E+00  0.19007786E-01  0.45566329E-02
  0.32000000E+00  0.18781546E-01  0.46920040E-02
  0.33000000E+00  0.18556680E-01  0.48262528E-02
  0.34000000E+00  0.18333369E-01  0.49593494E-02
  0.35000000E+00  0.18111791E-01  0.50912659E-02
  0.36000000E+00  0.17892120E-01  0.52219761E-02
  0.37000000E+00  0.17674529E-01  0.53514561E-02
  0.38000000E+00  0.17459188E-01  0.54796838E-02
  0.39000000E+00  0.17246264E-01  0.56066396E-02
  0.40000000E+00  0.17035921E-01  0.57323063E-02
  0.41000000E+00  0.16828319E-01  0.58566691E-02
  0.42000000E+00  0.16623617E-01  0.59797158E-02
  0.43000000E+00  0.16421968E-01  0.61014367E-02
  0.44000000E+00  0.16223523E-01  0.62218251E-02
  0.45000000E+00  0.16028430E-01  0.63408767E-02
  0.46000000E+00  0.15836831E-01  0.64585902E-02
  0.47000000E+00  0.15648868E-01  0.65749671E-02
  0.48000000E+00  0.15464676E-01  0.66900116E-02
  0.49000000E+00  0.15284388E-01  0.68037305E-02
  0.50000000E+00  0.15108132E-01  0.69161338E-02
  0.51000000E+00  0.14936033E-01  0.70272339E-02
  0.52000000E+00  0.14768213E-01  0.71370459E-02
  0.53000000E+00  0.14604786E-01  0.72455875E-02
  0.54000000E+00  0.14445868E-01  0.73528791E-02
  0.55000000E+00  0.14291566E-01  0.74589434E-02
  0.56000000E+00  0.14141985E-01  0.75638055E-02
  0.57000000E+00  0.13997227E-01  0.76674928E-02
  0.58000000E+00  0.13857388E-01  0.77700349E-02
  0.59000000E+00  0.13722562E-01  0.78714633E-02
  0.60000000E+00  0.13592837E-01  0.79718115E-02
  0.61000000E+00  0.13468299E-01  0.80711150E-02
  0.62000000E+00  0.13349030E-01  0.81694106E-02
  0.63000000E+00  0.13235106E-01  0.82667372E-02
  0.64000000E+00  0.13126602E-01  0.83631347E-02
  0.65000000E+00  0.13023588E-01  0.84586445E-02
  0.66000000E+00  0.12926131E-01  0.85533093E-02
  0.67000000E+00  0.12834294E-01  0.86471727E-02
  0.68000000E+00  0.12748136E-01  0.87402794E-02
  0.69000000E+00  0.12667714E-01  0.88326750E-02
  0.70000000E+00  0.12593080E-01  0.89244058E-02
  0.71000000E+00  0.12524285E-01  0.90155188E-02
  0.72000000E+00  0.12461376E-01  0.91060614E-02
  0.73000000E+00  0.12404396E-01  0.91960818E-02
  0.74000000E+00  0.12353386E-01  0.92856283E-02
  0.75000000E+00  0.12308384E-01  0.93747498E-02
  0.76000000E+00  0.12269427E-01  0.94634951E-02
  0.77000000E+00  0.12236547E-01  0.95519137E-02
  0.78000000E+00  0.12209774E-01  0.96400546E-02
  0.79000000E+00  0.12189139E-01  0.97279675E-02
  0.80000000E+00  0.12174666E-01  0.98157018E-02
  0.81000000E+00  0.12166381E-01  0.99033069E-02
  0.82000000E+00  0.12164306E-01  0.99908324E-02
  0.83000000E+00  0.12168461E-01  0.10078328E-01
  0.84000000E+00  0.12178867E-01  0.10165842E-01
  0.85000000E+00  0.12195541E-01  0.10253424E-01
  0.86000000E+00  0.12218499E-01  0.10341124E-01
  0.87000000E+00  0.12247757E-01  0.10428990E-01
  0.88000000E+00  0.12283329E-01  0.10517071E-01
  0.89000000E+00  0.12325229E-01  0.10605415E-01
  0.90000000E+00  0.12373469E-01  0.10694072E-01
  0.91000000E+00  0.12428061E-01  0.10783088E-01
  0.92000000E+00  0.12489017E-01  0.10872513E-01
  0.93000000E+00  0.12556347E-01  0.10962393E-01
  0.94000000E+00  0.12630062E-01  0.11052776E-01
  0.95000000E+00  0.12710174E-01  0.11143710E-01
  0.96000000E+00  0.12796691E-01  0.11235241E-01
  0.97000000E+00  0.12889626E-01  0.11327415E-01
  0.98000000E+00  0.12988987E-01  0.11420279E-01
  0.99000000E+00  0.13094788E-01  0.11513879E-01
  0.10000000E+01  0.13207038E-01  0.11608259E-01
  0.10100000E+01  0.13325750E-01  0.11703465E-01
  0.10200000E+01  0.13450935E-01  0.11799541E-01
  0.10300000E+01  0.13582608E-01  0.11896531E-01
  0.10400000E+01  0.13720781E-01  0.11994478E-01
