  0.50000000E-01  0.17459940E+03 -0.21801559E+01
  0.60000000E-01  0.17486813E+03 -0.26142985E+01
  0.70000000E-01  0.17514253E+03 -0.30474244E+01
  0.80000000E-01  0.17542240E+03 -0.34793753E+01
  0.90000000E-01  0.17570753E+03 -0.39099976E+01
  0.10000000E+00  0.17599773E+03 -0.43391436E+01
  0.11000000E+00  0.17629280E+03 -0.47666718E+01
  0.12000000E+00  0.17659256E+03 -0.51924471E+01
  0.13000000E+00  0.17689680E+03 -0.56163421E+01
  0.14000000E+00  0.17720536E+03 -0.60382366E+01
  0.15000000E+00  0.17751804E+03 -0.64580189E+01
  0.16000000E+00  0.17783467E+03 -0.68755856E+01
  0.17000000E+00  0.17815508E+03 -0.72908419E+01
  0.18000000E+00  0.17847909E+03 -0.77037024E+01
  0.19000000E+00  0.17880655E+03 -0.81140905E+01
  0.20000000E+00  0.17913728E+03 -0.85219391E+01
  0.21000000E+00  0.17947115E+03 -0.89271907E+01
  0.22000000E+00  0.17980798E+03 -0.93297969E+01
  0.23000000E+00  0.18014765E+03 -0.97297188E+01
  0.24000000E+00  0.18048999E+03 -0.10126927E+02
  0.25000000E+00  0.18083489E+03 -0.10521401E+02
  0.26000000E+00  0.18118219E+03 -0.10913129E+02
  0.27000000E+00  0.18153178E+03 -0.11302109E+02
  0.28000000E+00  0.18188353E+03 -0.11688346E+02
  0.29000000E+00  0.18223731E+03 -0.12071854E+02
  0.30000000E+00  0.18259302E+03 -0.12452654E+02
  0.31000000E+00  0.18295055E+03 -0.12830773E+02
  0.32000000E+00  0.18330977E+03 -0.13206248E+02
  0.33000000E+00  0.18367061E+03 -0.13579120E+02
  0.34000000E+00  0.18403295E+03 -0.13949434E+02
  0.35000000E+00  0.18439670E+03 -0.14317244E+02
  0.36000000E+00  0.18476178E+03 -0.14682605E+02
  0.37000000E+00  0.18512810E+03 -0.15045578E+02
  0.38000000E+00  0.18549557E+03 -0.15406227E+02
  0.39000000E+00  0.18586412E+03 -0.15764618E+02
  0.40000000E+00  0.18623368E+03 -0.16120819E+02
  0.41000000E+00  0.18660417E+03 -0.16474901E+02
  0.42000000E+00  0.18697552E+03 -0.16826934E+02
  0.43000000E+00  0.18734768E+03 -0.17176990E+02
  0.44000000E+00  0.18772058E+03 -0.17525141E+02
  0.45000000E+00  0.18809416E+03 -0.17871456E+02
  0.46000000E+00  0.18846837E+03 -0.18216006E+02
  0.47000000E+00  0.18884315E+03 -0.18558857E+02
  0.48000000E+00  0.18921846E+03 -0.18900077E+02
  0.49000000E+00  0.18959425E+03 -0.19239729E+02
  0.50000000E+00  0.18997046E+03 -0.19577874E+02
  0.51000000E+00  0.19034707E+03 -0.19914568E+02
  0.52000000E+00  0.19072402E+03 -0.20249868E+02
  0.53000000E+00  0.19110128E+03 -0.20583824E+02
  0.54000000E+00  0.19147880E+03 -0.20916485E+02
  0.55000000E+00  0.19185656E+03 -0.21247893E+02
  0.56000000E+00  0.19223452E+03 -0.21578089E+02
  0.57000000E+00  0.19261264E+03 -0.21907110E+02
  0.58000000E+00  0.19299089E+03 -0.22234988E+02
  0.59000000E+00  0.19336923E+03 -0.22561753E+02
  0.60000000E+00  0.19374765E+03 -0.22887429E+02
  0.61000000E+00  0.19412610E+03 -0.23212039E+02
  0.62000000E+00  0.19450456E+03 -0.23535601E+02
  0.63000000E+00  0.19488301E+03 -0.23858131E+02
  0.64000000E+00  0.19526141E+03 -0.24179642E+02
  0.65000000E+00  0.19563973E+03 -0.24500144E+02
  0.66000000E+00  0.19601795E+03 -0.24819644E+02
  0.67000000E+00  0.19639605E+03 -0.25138149E+02
  0.68000000E+00  0.19677400E+03 -0.25455663E+02
  0.69000000E+00  0.19715177E+03 -0.25772187E+02
  0.70000000E+00  0.19752934E+03 -0.26087723E+02
  0.71000000E+00  0.19790668E+03 -0.26402271E+02
  0.72000000E+00  0.19828378E+03 -0.26715832E+02
  0.73000000E+00  0.19866060E+03 -0.27028403E+02
  0.74000000E+00  0.19903713E+03 -0.27339986E+02
  0.75000000E+00  0.19941334E+03 -0.27650578E+02
  0.76000000E+00  0.19978922E+03 -0.27960180E+02
  0.77000000E+00  0.20016474E+03 -0.28268793E+02
  0.78000000E+00  0.20053988E+03 -0.28576417E+02
  0.79000000E+00  0.20091463E+03 -0.28883054E+02
  0.80000000E+00  0.20128896E+03 -0.29188709E+02
  0.81000000E+00  0.20166286E+03 -0.29493385E+02
  0.82000000E+00  0.20203631E+03 -0.29797088E+02
  0.83000000E+00  0.20240930E+03 -0.30099825E+02
  0.84000000E+00  0.20278181E+03 -0.30401604E+02
  0.85000000E+00  0.20315384E+03 -0.30702436E+02
  0.86000000E+00  0.20352537E+03 -0.31002331E+02
  0.87000000E+00  0.20389640E+03 -0.31301302E+02
  0.88000000E+00  0.20426691E+03 -0.31599362E+02
  0.89000000E+00  0.20463691E+03 -0.31896526E+02
  0.90000000E+00  0.20500639E+03 -0.32192810E+02
  0.91000000E+00  0.20537535E+03 -0.32488229E+02
  0.92000000E+00  0.20574380E+03 -0.32782802E+02
  0.93000000E+00  0.20611174E+03 -0.33076546E+02
  0.94000000E+00  0.20647918E+03 -0.33369480E+02
  0.95000000E+00  0.20684612E+03 -0.33661621E+02
  0.96000000E+00  0.20721259E+03 -0.33952989E+02
  0.97000000E+00  0.20757860E+03 -0.34243603E+02
  0.98000000E+00  0.20794417E+03 -0.34533481E+02
  0.99000000E+00  0.20830933E+03 -0.34822640E+02
  0.10000000E+01  0.20867410E+03 -0.35111100E+02
