   0.00000000E+000   0.42536594E-009
   0.30030030E-001   0.46873691E-009
   0.60060060E-001   0.60565639E-009
   0.90090090E-001   0.85746446E-009
   0.12012012E+000   0.12632222E-008
   0.15015015E+000   0.18867392E-008
   0.18018018E+000   0.28311140E-008
   0.21021021E+000   0.42683154E-008
   0.24024024E+000   0.64976035E-008
   0.27027027E+000   0.10054313E-007
   0.30030030E+000   0.15892825E-007
   0.33033033E+000   0.25644930E-007
   0.36036036E+000   0.41876199E-007
   0.39039039E+000   0.68119121E-007
   0.42042042E+000   0.10833930E-006
   0.45045045E+000   0.16560637E-006
   0.48048048E+000   0.24027271E-006
   0.51051051E+000   0.32868632E-006
   0.54054054E+000   0.42364845E-006
   0.57057057E+000   0.51688359E-006
   0.60060060E+000   0.60222166E-006
   0.63063063E+000   0.67746706E-006
   0.66066066E+000   0.74392111E-006
   0.69069069E+000   0.80433932E-006
   0.72072072E+000   0.86101269E-006
   0.75075075E+000   0.91503841E-006
   0.78078078E+000   0.96664072E-006
   0.81081081E+000   0.10157943E-005
   0.84084084E+000   0.10626038E-005
   0.87087087E+000   0.11073593E-005
   0.90090090E+000   0.11504353E-005
   0.93093093E+000   0.11921939E-005
   0.96096096E+000   0.12329442E-005
   0.99099099E+000   0.12729469E-005
   0.10210210E+001   0.13124325E-005
   0.10510511E+001   0.13516178E-005
   0.10810811E+001   0.13907144E-005
   0.11111111E+001   0.14299316E-005
   0.11411411E+001   0.14694767E-005
   0.11711712E+001   0.15095554E-005
   0.12012012E+001   0.15503714E-005
   0.12312312E+001   0.15921278E-005
   0.12612613E+001   0.16350285E-005
   0.12912913E+001   0.16792797E-005
   0.13213213E+001   0.17250931E-005
   0.13513514E+001   0.17726880E-005
   0.13813814E+001   0.18222935E-005
   0.14114114E+001   0.18741486E-005
   0.14414414E+001   0.19285005E-005
   0.14714715E+001   0.19856044E-005
   0.15015015E+001   0.20457310E-005
   0.15315315E+001   0.21091861E-005
   0.15615616E+001   0.21763375E-005
   0.15915916E+001   0.22476341E-005
   0.16216216E+001   0.23236045E-005
   0.16516517E+001   0.24048364E-005
   0.16816817E+001   0.24919621E-005
   0.17117117E+001   0.25856847E-005
   0.17417417E+001   0.26868441E-005
   0.17717718E+001   0.27965125E-005
   0.18018018E+001   0.29161158E-005
   0.18318318E+001   0.30475721E-005
   0.18618619E+001   0.31935423E-005
   0.18918919E+001   0.33578465E-005
   0.19219219E+001   0.35462493E-005
   0.19519520E+001   0.37678602E-005
   0.19819820E+001   0.40378900E-005
   0.20120120E+001   0.43827745E-005
   0.20420420E+001   0.48462964E-005
   0.20720721E+001   0.54911660E-005
   0.21021021E+001   0.64197776E-005
   0.21321321E+001   0.74642764E-005
   0.21621622E+001   0.73035917E-005
   0.21921922E+001   0.72806375E-005
   0.22222222E+001   0.72884884E-005
   0.22522523E+001   0.72902113E-005
   0.22822823E+001   0.72955489E-005
   0.23123123E+001   0.73049181E-005
   0.23423423E+001   0.73148706E-005
   0.23723724E+001   0.73243599E-005
   0.24024024E+001   0.73340623E-005
   0.24324324E+001   0.73445892E-005
   0.24624625E+001   0.73560464E-005
   0.24924925E+001   0.73683448E-005
   0.25225225E+001   0.73814809E-005
   0.25525526E+001   0.73955983E-005
   0.25825826E+001   0.74109280E-005
   0.26126126E+001   0.74277180E-005
   0.26426426E+001   0.74462020E-005
   0.26726727E+001   0.74666017E-005
   0.27027027E+001   0.74891431E-005
   0.27327327E+001   0.75140677E-005
   0.27627628E+001   0.75416347E-005
   0.27927928E+001   0.75721186E-005
   0.28228228E+001   0.76058070E-005
   0.28528529E+001   0.76430008E-005
   0.28828829E+001   0.76840174E-005
   0.29129129E+001   0.77291948E-005
   0.29429429E+001   0.77788962E-005
   0.29729730E+001   0.78335157E-005
   0.30030030E+001   0.78934845E-005
   0.30330330E+001   0.79592791E-005
   0.30630631E+001   0.80314315E-005
   0.30930931E+001   0.81105421E-005
   0.31231231E+001   0.81972954E-005
   0.31531532E+001   0.82924809E-005
   0.31831832E+001   0.83970225E-005
   0.32132132E+001   0.85120172E-005
   0.32432432E+001   0.86387840E-005
   0.32732733E+001   0.87789324E-005
   0.33033033E+001   0.89344670E-005
   0.33333333E+001   0.91079277E-005
   0.33633634E+001   0.93025764E-005
   0.33933934E+001   0.95227028E-005
   0.34234234E+001   0.97740863E-005
   0.34534535E+001   0.10064629E-004
   0.34834835E+001   0.10404657E-004
   0.35135135E+001   0.10804688E-004
   0.35435435E+001   0.11266714E-004
   0.35735736E+001   0.11759791E-004
   0.36036036E+001   0.12203241E-004
   0.36336336E+001   0.12558361E-004
   0.36636637E+001   0.12940738E-004
   0.36936937E+001   0.14039827E-004
   0.37237237E+001   0.15137143E-004
   0.37537538E+001   0.15277611E-004
   0.37837838E+001   0.15470232E-004
   0.38138138E+001   0.15633957E-004
   0.38438438E+001   0.15767163E-004
   0.38738739E+001   0.15875093E-004
   0.39039039E+001   0.15968036E-004
   0.39339339E+001   0.16059111E-004
   0.39639640E+001   0.16164306E-004
   0.39939940E+001   0.16301972E-004
   0.40240240E+001   0.16497406E-004
   0.40540541E+001   0.16790087E-004
   0.40840841E+001   0.17252793E-004
   0.41141141E+001   0.18033406E-004
   0.41441441E+001   0.19204149E-004
   0.41741742E+001   0.19973459E-004
   0.42042042E+001   0.21007379E-004
   0.42342342E+001   0.21072300E-004
   0.42642643E+001   0.18370976E-004
   0.42942943E+001   0.16562117E-004
   0.43243243E+001   0.15789441E-004
   0.43543544E+001   0.15290934E-004
   0.43843844E+001   0.14693932E-004
