G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
L                             152         0.9628045108      0.0000000000      0.5000000000      0.0000000000
K                             259         1.6436101093      0.0000000000      0.6250000000      0.3750000000
X                             321         2.0366734049      0.0000000000      0.5000000000      0.5000000000
W                             408         2.5925488484      0.2500000000      0.7500000000      0.5000000000
G                             603         3.8355241270      0.0000000000      0.0000000000      0.0000000000
